UF,Municipio,Municipio_UF,Estado,Unidade_Federativa,Regiao,CEP,Endereco,Bairro,Endereco_Completo,Latitude,Longitude,Tipo_Servico,Nome_Servico,Telefone,Outro_Telefone,Email,Site,Rede_Social,Fonte_URL,Data_Extracao,Ultima_Atualizacao_Modelo
AC,Acrelândia,"Acrelândia,AC,Brasil",ACRE,Acre,Norte,69945-000,AVENIDA PARANA 346 CENTRO,N/i,"AVENIDA PARANA 346 CENTRO,Acrelândia-AC,69945-000",-10.0818924,-67.05653079999999,Serviços de Saúde a Pessoas em situação de violência sexual,Unidade Mista De Saude,(68) 3235-1188 / 1366,N/i,uma_acrelandia@hotmail.com,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Brasiléia,"Brasiléia,AC,Brasil",ACRE,Acre,Norte,69932-000,"RUA JOSÉ KAIRALA, Nº 42 - BAIRRO: CENTRO",N/i,"RUA JOSÉ KAIRALA, Nº 42 - BAIRRO: CENTRO,Brasiléia-AC,69932-000",-10.9974896,-68.753202399999992,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Atendimento À Mulher,"(68) 3546-4306, (68) 9999-89336",N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Brasiléia,"Brasiléia,AC,Brasil",ACRE,Acre,Norte,69932-000,"RUA JOSÉ KAIRALA, Nº 42 - BAIRRO: CENTRO",N/i,"RUA JOSÉ KAIRALA, Nº 42 - BAIRRO: CENTRO,Brasiléia-AC,69932-000",-10.9974896,-68.753202399999992,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro Especializado De Atendimento À Mulher (Ceam),(68) 3546-4306,(68) 9999-89336,sec.mulheresac@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Brasiléia,"Brasiléia,AC,Brasil",ACRE,Acre,Norte,69932-000,"Rua Manoel Ribeiro, 237 - Centro",Centro,"Rua Manoel Ribeiro, 237 - Centro,Brasiléia-AC,69932-000",-11.0115689,-68.7421858,Patrulha Maria da Penha,Patrulha Maria Da Penha,(68) 3546-3365,N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69895-000,"Rua Formoso, 250, ao lado da Vila da Marinha, Cruzeiro do Sul",Formoso,"Rua Formoso, 250, ao lado da Vila da Marinha, Cruzeiro do Sul,Cruzeiro do Sul-AC,69895-000",,,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro de Referência da Mulher Brasileira - Cruzeiro do Sul - AC,(68) 99947-9670,,,,,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69900-333,"RUA MARECHAL DEODORO, 472 -",N/i,"RUA MARECHAL DEODORO, 472 -,Cruzeiro do Sul-AC,69900-333",-7.6368560999999993,-72.6702068,Núcleos de Defesa da Mulher nas Defensorias Públicas,Núcleo De Combate À Violência Doméstica E Familiar Contra A Mulher,(68) 3322-1527,N/i,OLIVEIRA@MPAC.MT.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69915-631,"Rua Tribunal de Justiça, s/n",N/i,"Rua Tribunal de Justiça, s/n,Cruzeiro do Sul-AC,69915-631",-7.6368560999999993,-72.6702068,Juizados e Varas Especializadas de Violência Doméstica e Familiar contra a Mulher,Vara De Proteção À Mulher,(68) 3211-3857,(68) 3211-3817,vpmrb@tjac.jus.br,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,AVENIDA LAURO MULLER 0351 CENTRO,N/i,"AVENIDA LAURO MULLER 0351 CENTRO,Cruzeiro do Sul-AC,69980-000",-7.6367018999999994,-72.675423299999991,Serviços de Saúde a Pessoas em situação de violência sexual,Hospital Da Mulher E Da Crianca,(68) 3322-5270 /2364,N/i,same.hmcj.czs@gmail.com,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,"AVENIDA VINTE E CINCO DE AGOSTO, Nº 1923, BAIRRO 25 DE AGOSTO",N/i,"AVENIDA VINTE E CINCO DE AGOSTO, Nº 1923, BAIRRO 25 DE AGOSTO,Cruzeiro do Sul-AC,69980-000",-7.6147753,-72.6733256,Delegacias Especializadas de Atendimento à Mulher e Postos ou Seções da Polícia de Atendimento à Mulher),Seção De Atendimento À Mulher - Delegacia Especializada De Atendimento À Mulher E Proteção Ao Menor,"(68) 3221-0404 , (68)3221- 4799, (68) 3322-7440",N/i,DEMPCA.CZS@GMAIL.COM; carla.ivane@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,"Cidade da Justiça Guarita BR 307 Km 09, 4090 - Boca da Alemanha",Boca da Alemanha,"Cidade da Justiça Guarita BR 307 Km 09, 4090 - Boca da Alemanha,Cruzeiro do Sul-AC,69980-000",-7.6283588,-72.6745696,Juizados e Varas Especializadas de Violência Doméstica e Familiar contra a Mulher,Juizado Da Violência Doméstica E Familiar Contra A Mulher,(68) 3311-1630,N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,RUA PARAÍBA 430 BAIRRO COLÉGIO,N/i,"RUA PARAÍBA 430 BAIRRO COLÉGIO,Cruzeiro do Sul-AC,69980-000",-7.6283419,-72.6696189,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Referência Vitória Régia Para Mulheres Em Situação De Violência Do Juruá,(68) 3322-4247,(68) 3322-6340,ROSALINACZS@HOTMAIL.COM,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,"Rua Rui Barbosa, s/n – Centro",Centro,"Rua Rui Barbosa, s/n – Centro,Cruzeiro do Sul-AC,69980-000",-7.6340172,-72.6656555,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Cram- Centro De Referência De Atendimento À Mulher,(68) 99605-0657,N/i,sec.mulheresac@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,RUA SIQUEIRA CAMPOS 356 BAIRRO CENTRO,N/i,"RUA SIQUEIRA CAMPOS 356 BAIRRO CENTRO,Cruzeiro do Sul-AC,69980-000",-7.625639,-72.6692547,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Núcleo De Combate A Violência Doméstica E Familiar Contra A Mulher,(68) 3322-1527,(68) 3122-1544,OLIVEIRA@MPAC.MT.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,69980-000,RUA SIQUEIRA CAMPOS N 356 CENTRO,N/i,"RUA SIQUEIRA CAMPOS N 356 CENTRO,Cruzeiro do Sul-AC,69980-000",-7.625639,-72.6692547,Promotorias Especializadas e Núcleos de Gênero nos Ministérios Públicos,Núcleo De Combate A Violência Doméstica E Familiar Contra A Mulher,(68) 3322-4165,(68) 3322-3122,FCLIMA@MPAC.MP.BR / ESARAUJO@MPAC.MP.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Cruzeiro do Sul,"Cruzeiro do Sul,AC,Brasil",ACRE,Acre,Norte,SIGILOSO,SIGILOSO,N/i,"SIGILOSO,Cruzeiro do Sul-AC,SIGILOSO",-7.6368560999999993,-72.6702068,Casas Abrigo e Casa de Acolhimento Provisório (Casas-de-Passagem),Casa Abrigo Do Juruá - Caj,SIGILOSO,SIGILOSO,NATHY_FELIX16@HOTMAIL.COM  seds.czs@ac.gov.br,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Epitaciolândia,"Epitaciolândia,AC,Brasil",ACRE,Acre,Norte,69934-000,"Rua Capitão Pedro Vasconcelos n.º 257, Centro, Epitaciolândia, AC",Centro,"Rua Capitão Pedro Vasconcelos n.º 257, Centro, Epitaciolândia, AC,Epitaciolândia-AC,69934-000",,,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro de Referência da Mulher Brasileira - Epitaciolândia - AC,(68) 99950-9716,,,,,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Feijó,"Feijó,AC,Brasil",ACRE,Acre,Norte,69960-000,"Avenida Plácido Castro, 422 - Centro",Centro,"Avenida Plácido Castro, 422 - Centro,Feijó-AC,69960-000",-8.168005299999999,-70.355946899999992,Patrulha Maria da Penha,Patrulha Maria Da Penha,(68) 3463-2100,N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69900-000,"PRAÇA PLÁCIDO DE CASTRO, Nº 70 CENTRO",N/i,"PRAÇA PLÁCIDO DE CASTRO, Nº 70 CENTRO,Rio Branco-AC,69900-000",-9.9729105999999987,-67.8092211,Patrulha Maria da Penha,N/I,N/i,N/i,PMP.PMAC@GMAIL.COM,WWW.PM.AC.GOV.BR,https://www.instagram.com/PMACOFICIAL/,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69900-064,"RUA BENJAMIN CONSTANT, NUM 939, CENTRO, RIO BRANCO",N/i,"RUA BENJAMIN CONSTANT, NUM 939, CENTRO, RIO BRANCO,Rio Branco-AC,69900-064",-9.9753542,-67.808205,Promotorias Especializadas e Núcleos de Gênero nos Ministérios Públicos,7ª Promotoria Criminal. 2ª Vara De Proteção À Mulher,(68) 3212-5200,(68) 3212-5262,7PROCCRIM@MPAC.MP.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69900-373,AVENIDA GETULIO VARGAS 811 CENTRO,Bosque,"AVENIDA GETULIO VARGAS 811 CENTRO,Rio Branco-AC,69900-373",-9.9680077999999988,-67.812578399999992,Serviços de Saúde a Pessoas em situação de violência sexual,Maternidade E Clinicas De Mulheres Barbara Heliodora,(68) 3224-1290,N/i,sasmac.saude@gmail.com,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69900-478,AV NACOES UNIDAS 700 BOSQUE,N/i,"AV NACOES UNIDAS 700 BOSQUE,Rio Branco-AC,69900-478",-9.9651417,-67.8144574,Serviços de Saúde a Pessoas em situação de violência sexual,Hospital Geral De Clinicas,(68) 3223-3080,N/i,huerb.saude@ac.gov.br,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69901-180,"Via Chico Mendes, nº 803, 2º Distrito – Bairro: Triângulo.",Triângulo,"Via Chico Mendes, nº 803, 2º Distrito – Bairro: Triângulo.,Rio Branco-AC,69901-180",-9.9837937,-67.806214099999991,Delegacias Especializadas de Atendimento à Mulher e Postos ou Seções da Polícia de Atendimento à Mulher),Delegacia Especializada De Atendimento À Mulher,"(68) 3221-4799, (68) 3221-0404",N/i,Deam.sepc@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69901-500,RUA NOVO ANDIRA 339 BAIRRO CIDADE NOVA,N/i,"RUA NOVO ANDIRA 339 BAIRRO CIDADE NOVA,Rio Branco-AC,69901-500",-9.9793609,-67.8167394,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Referência Para Mulheres Em Situação De Violência - Casa Rosa Mulher,(68) 3224-5117,N/i,MULHER@RIOBRANCO.AC.GOV.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69905-022,"TRAVESSA CAMPO DO RIO BRANCO 162, BAIRRO: CAPOEIRA",N/i,"TRAVESSA CAMPO DO RIO BRANCO 162, BAIRRO: CAPOEIRA,Rio Branco-AC,69905-022",-9.9677809999999987,-67.8060339,Promotorias Especializadas e Núcleos de Gênero nos Ministérios Públicos,13ª Promotoria De Justiça Especializada No Combate A Violência Doméstica E Familiar Contra A Mulher,(68) 3212-6439,(68) 3212-6400,DFRANCO@MPAC.MP.BR / 13CRIMINAL@MPAC.MP.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69915-777,"Cidade da Justiça, Avenida Paulo Lemos, 878 - Portal da Amazônia",N/i,"Cidade da Justiça, Avenida Paulo Lemos, 878 - Portal da Amazônia,Rio Branco-AC,69915-777",-9.9697243,-67.8746345,Juizados e Varas Especializadas de Violência Doméstica e Familiar contra a Mulher,1ª E 2ª Vara De Proteção À Mulher,"(68) 3302 0412, (68) 3211-3857","(68) 3302-0461,  (68) 3212-0568",ADERLANYACEM@TJAC.JUS.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,69918-700,"AVENIDA ANTÔNIO DA ROCHA VIANA, N. 3057, SANTA QUITÉRIA,",N/i,"AVENIDA ANTÔNIO DA ROCHA VIANA, N. 3057, SANTA QUITÉRIA,,Rio Branco-AC,69918-700",-9.948851,-67.824789,Núcleos de Defesa da Mulher nas Defensorias Públicas,Defensoria Pública Do Estado Do Acre,"(68) 3223-2554, (68) 99930-4339","(68) 99972-2835, (68) 99912-4811",GABINETEGERAL.DEFENSORIAAC@GMAIL.COM  -  GABINETE.DEFENSORIA@AC.GOV.BR; gabinete.defensoria@ac.gov.br,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Rio Branco,"Rio Branco,AC,Brasil",ACRE,Acre,Norte,SIGILOSO,SIGILOSO,N/i,"SIGILOSO,Rio Branco-AC,SIGILOSO",-9.9740249,-67.8098191,Casas Abrigo e Casa de Acolhimento Provisório (Casas-de-Passagem),Casa Abrigo Mãe Da Mata,SIGILOSO,SIGILOSO,"dpse.seds@ac.gov.br, gabinete.seasdhm@gmail.com",N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Sena Madureira,"Sena Madureira,AC,Brasil",ACRE,Acre,Norte,69900-970,"Rua Augusto Vasconcelos, 480",N/i,"Rua Augusto Vasconcelos, 480,Sena Madureira-AC,69900-970",-9.0606017999999988,-68.6602454,Patrulha Maria da Penha,Patrulha Maria Da Penha,(68) 3611-1104,N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
